word, counts, imageurl
China,5,https://www.flickr.com/photos/145608259@N04/30723599274
Japan,4,https://www.flickr.com/photos/147013824@N08/31477744865
Australia,2,https://www.flickr.com/photos/133811292@N05/31189687742
Indonesia,2,https://www.flickr.com/photos/130036773@N05/30705331190
Jordan,2,https://www.flickr.com/photos/129729506@N06/30154788555
